init_group,target_group,know_each_other,init_name,target_name,time,conv_id,utterance_counter,simulation,utterance,birthday_mentioned,Sam_birthday_mentioned,Isabella_birthday_mentioned
longterm resident of the village,newcomer to the village,True,Sam,Wolfgang,"February 13, 2023, 06:36:00",2,4,1_village_23,I'm actually planning to have my birthday party at The Rose and Crown Pub tomorrow at 5pm. It would be great if you could join us and meet some of the other villagers!,True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,5,1_village_23,"Thank you for the invitation, Sam! I would love to join your birthday party at The Rose and Crown Pub tomorrow at 5pm. I'm excited to meet more of the villagers.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,7,1_village_23,"Thank you, Sam! I appreciate the warm welcome and the invitation. I'm excited to explore more of the village and meet the other villagers at your birthday party tomorrow.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,11,1_village_23,"Thank you, Sam! I appreciate your hospitality and the warm welcome. I'm looking forward to exploring the village more and meeting more of the villagers at your birthday party tomorrow.",True,True,False
newcomer to the village,longterm resident of the village,True,Wolfgang,Sam,"February 13, 2023, 06:35:50",2,15,1_village_23,"Thank you, Sam! I really appreciate your hospitality and all the information you've shared. I'm excited to join you for a coffee at Hobbs Cafe tomorrow at 8 am and meet more of the villagers at your birthday party at The Rose and Crown Pub at 5 pm. It's great to know that I can always ask you for tips about the village.",True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Isabella,"February 13, 2023, 08:12:00",6,3,1_village_23,"Oh, absolutely! There are so many hidden gems around the village. I would recommend taking a stroll in Johnson Park, it's a beautiful place to relax and enjoy nature. And if you're up for it, you should definitely join us at The Rose and Crown Pub tomorrow for my birthday party at 5pm. It's a great way to meet other villagers and have a good time!",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 08:12:10",6,4,1_village_23,"Thank you so much for the recommendation, Sam! I will definitely check out Johnson Park and I'm looking forward to joining you at The Rose and Crown Pub tomorrow for your birthday party at 5pm.",True,True,False
newcomer to the village,longterm resident of the village,True,Isabella,Sam,"February 13, 2023, 08:12:10",6,6,1_village_23,"Thank you for the warm invitation, Sam. I appreciate your kindness in welcoming me to the village. I'm looking forward to meeting everyone at The Rose and Crown Pub tomorrow for your birthday party at 5pm.",True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Carlos,"February 13, 2023, 08:36:50",10,11,1_village_23,Let's make sure to finalize our plans for my birthday party at Hobbs Cafe tomorrow at 5pm. I hope you can join us for the celebration!,True,False,True
newcomer to the village,newcomer to the village,True,Carlos,Isabella,"February 13, 2023, 08:36:50",10,12,1_village_23,That sounds fantastic! I'm looking forward to celebrating your birthday at Hobbs Cafe tomorrow at 5pm. Count me in!,True,False,True
longterm resident of the village,longterm resident of the village,True,Sam,Klaus,"February 13, 2023, 09:03:40",14,3,1_village_23,"Hey Klaus, I actually wanted to invite you to my birthday party at The Rose and Crown Pub tomorrow at 5pm. It would be great to have you there!",True,True,False
longterm resident of the village,longterm resident of the village,True,Klaus,Sam,"February 13, 2023, 09:03:50",14,4,1_village_23,"Thank you so much for the invitation, Sam! I'll definitely be there at The Rose and Crown Pub tomorrow at 5 pm. Looking forward to celebrating your birthday!",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Klaus,"February 13, 2023, 09:03:40",14,7,1_village_23,That sounds wonderful! We can start our village tour at Johnson Park in the morning and then head to The Rose and Crown Pub in the afternoon for the birthday party.,True,True,False
longterm resident of the village,newcomer to the village,True,Sam,Carlos,"February 13, 2023, 09:16:00",15,1,1_village_23,"Hey Carlos, I've been to the farmers' market many times! It's a great place to get fresh produce and support local farmers. Would you like to join me this Saturday when I go? We can grab some ingredients for Isabella's birthday party.",True,False,True
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 13, 2023, 09:26:20",16,10,1_village_23,I'm also planning to have my birthday party at Hobbs Cafe tomorrow evening. You're welcome to join us!,True,False,True
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 13, 2023, 09:26:10",16,11,1_village_23,That sounds wonderful! Thank you for inviting me to your birthday party at Hobbs Cafe tomorrow evening. I'll definitely be there.,True,False,True
newcomer to the village,newcomer to the village,True,Isabella,Ayesha,"February 13, 2023, 09:26:20",16,12,1_village_23,I'm glad you'll be joining me for the birthday party at Hobbs Cafe tomorrow evening! It'll be a great way to meet more villagers and celebrate together.,True,False,True
newcomer to the village,newcomer to the village,True,Ayesha,Isabella,"February 13, 2023, 09:26:10",16,13,1_village_23,"Thank you for the invitation to your birthday party at Hobbs Cafe tomorrow evening, Isabella. I look forward to meeting more villagers and celebrating with you!",True,False,True
longterm resident of the village,longterm resident of the village,True,Sam,Eddy,"February 13, 2023, 09:27:40",17,2,1_village_23,"That sounds like a great idea, Eddy! I actually have plans to meet Wolfgang at Hobbs Cafe tomorrow morning at 8 am. Why don't you join us? And also, don't forget about my birthday party at The Rose and Crown Pub at 5 pm!",True,True,False
longterm resident of the village,longterm resident of the village,True,Eddy,Sam,"February 13, 2023, 09:27:30",17,3,1_village_23,"That sounds like a fantastic plan, Sam! I'll definitely join you and Wolfgang at Hobbs Cafe in the morning. And I'll make sure to swing by The Rose and Crown Pub in the evening for your birthday party.",True,True,False
longterm resident of the village,longterm resident of the village,True,Eddy,Sam,"February 13, 2023, 09:27:30",17,5,1_village_23,"Thanks for the invite, Sam! I'll definitely be at Hobbs Cafe in the morning with both you and Wolfgang. Looking forward to celebrating your birthday at The Rose and Crown Pub in the evening!",True,True,False
longterm resident of the village,longterm resident of the village,True,Sam,Tom,"February 13, 2023, 09:42:20",18,2,1_village_23,I'm just running some errands and picking up party supplies for my birthday bash tomorrow at The Rose and Crown Pub. You should swing by if you can!,True,True,False
longterm resident of the village,longterm resident of the village,True,Tom,Sam,"February 13, 2023, 09:42:10",18,5,1_village_23,"I'll definitely try my best to make it to your birthday bash at The Rose and Crown Pub tomorrow night, Sam!",True,True,False
newcomer to the village,newcomer to the village,True,Isabella,Carlos,"February 13, 2023, 11:28:10",21,4,1_village_23,I also wanted to remind you about my birthday party tomorrow at Hobbs Cafe. I would love for you to join!,True,False,True
